"COVER","HEIGHT","rf","arf7","arf14","arf28","arf60","arf90","arf180","arf360","arf720","se","ase7","ase14","ase28","ase60","ase90","ase180","ase360","ase720","maxt","amaxt7","amaxt14","amaxt28","amaxt60","amaxt90","amaxt180","amaxt360","amaxt720","mint","amint7","amint14","amint28","amint60","amint90","amint180","amint360","amint720","dist_cfa","dist_camp","ws","aws_m0","aws_m1","aws_m3","aws_m6","aws_m12","aws_m24","dist_road","month","density_result","FOR_TYPE_Acacia","FOR_TYPE_Callitris","FOR_TYPE_Hardwood_plantation","FOR_TYPE_Melaleuca","FOR_TYPE_Non_forest","FOR_TYPE_Other_forest___unallocated_type","FOR_TYPE_Other_native_forest","FOR_TYPE_Rainforest","FOR_TYPE_Softwood_plantation","FOR_TYPE_Eucalypt"
1,2,0,5.08571428571429,2.81428571428571,1.97857142857143,2.30333333333333,1.25666666666667,0.935555555555556,1.36444444444444,1.30111111111111,3.8,18.0285714285714,17.0357142857143,19.3285714285714,20.3864406779661,22.5411764705882,20.791061452514,15.5515320334262,15.523504867872,21.3,22.3857142857143,21.4285714285714,20.7107142857143,24.0266666666667,27.0775,26.92,21.5538888888889,21.4775,9.6,9.04285714285714,9.92857142857143,8.41785714285714,11.1566666666667,11.9666666666667,11.9677777777778,9.13055555555556,8.85486111111111,9442.29274293277,50966.6096334841,2.82708333333333,5.91640617422239,5.72493415541689,5.47217301328063,4.79801389690852,5.69318358403621,5.77296046742057,498.751451003005,"Oct",0.0258138991946536,0,0,0,0,0,0,0,0,0,1
1,2,0,2.4,1.74285714285714,1.53571428571429,1.79666666666667,1.015,0.844444444444444,1.52555555555556,1.52138888888889,4.6,18.5,17.4428571428571,18.475,19.9915254237288,21.9319327731092,19.9396648044693,14.8325905292479,14.7504867872045,17.8,20.4428571428571,19.7285714285714,19.1,22.28,25.7766666666667,25.9272222222222,20.7977777777778,20.5722222222222,9,7.97142857142857,9.23571428571429,7.56071428571429,9.90333333333333,10.8125,11.0105555555556,8.45972222222222,8.26625,6323.14930710971,6592.91007814628,2.82708333333333,5.91640617422239,5.72493415541689,5.47217301328063,4.79801389690852,5.69318358403621,5.77296046742057,102.220321559509,"Oct",0.0382190461059377,0,0,0,0,0,0,0,0,0,1
4,4,15.4,2.4,1.8,1.53571428571429,1.79666666666667,1.015,0.844444444444444,1.52555555555556,1.52138888888889,14.2,21.4142857142857,18.0357142857143,19.3392857142857,20.3949152542373,22.0436974789916,19.9938547486034,14.8788300835655,14.7742698191933,15.4,22.2142857142857,19.8642857142857,19.1892857142857,22.3866666666667,25.8983333333333,25.985,20.8133333333333,20.5769444444444,7.3,9.17142857142857,9.42142857142857,7.35357142857143,9.97166666666667,10.8783333333333,11.02,8.44833333333333,8.25402777777778,7958.23171885205,31768.4100271615,3.25833333333333,5.91640617422239,5.72493415541689,5.47217301328063,4.79801389690852,5.70200709728351,5.78051328529568,1217.2244595474,"Oct",0.0202789559879381,0,0,1,0,0,0,0,0,0,0
6,6,11.6,1.65714285714286,1.04285714285714,0.692857142857143,0.91,0.56,0.421111111111111,0.626666666666667,0.91,18,21.8857142857143,20.9857142857143,22.0464285714286,22.3050847457627,23.8428571428571,22.2167597765363,16.8298050139276,16.8709318497914,19.5,26.3857142857143,25.75,24.6857142857143,27.7183333333333,30.8983333333333,30.2888888888889,24.0697222222222,23.8154166666667,6.1,8.42857142857143,8.77857142857143,7.44285714285714,11.2383333333333,13.3375,13.11,8.83333333333333,9.04222222222222,13835.0325669929,30754.5962292023,4.55208333333333,6.35239072813079,6.10729514281455,6.11143063120439,5.63678519371739,6.46492771067364,6.50755878560384,239.968711434363,"Oct",0.00446471502664171,0,0,0,0,1,0,0,0,0,0
6,6,0.2,0.942857142857143,3.44285714285714,1.9,1.83,1.005,0.71,0.918333333333333,0.9675,14.7,21.8142857142857,20.9571428571429,21.9785714285714,21.6983050847458,22.7689075630252,21.1854748603352,16.2682451253482,16.3927677329624,18.8,26.2,23.9785714285714,23.0571428571429,25.94,29.1816666666667,28.74,22.8705555555556,22.7879166666667,7.4,10.6571428571429,9.71428571428571,8.05714285714286,11.3383333333333,12.775,12.565,9.09777777777778,8.99333333333333,19430.1400805105,77184.7517827512,5.382,8.64059928270312,7.98458626119251,7.39523099769068,7.00125758709019,8.21784107690847,8.30948411872358,540.237815025932,"Oct",0.0408757015995073,0,0,0,0,1,0,0,0,0,0
2,3,0,0.942857142857143,1.82857142857143,1.86428571428571,2.12,1.76166666666667,1.30555555555556,1.18555555555556,1.36027777777778,24.7,18.1,18.0857142857143,18.8,19.9677966101695,20.1974789915966,18.6357541899441,14.5972144846797,14.5093184979138,22.3,23.2857142857143,22.7285714285714,20.2285714285714,23.47,25.1058333333333,25.2094444444444,21.2997222222222,21.2513888888889,6.9,12.1285714285714,11.5428571428571,9.78214285714286,11.7666666666667,13.5275,13.2955555555556,10.0633333333333,10.2831944444444,16570.7969666505,15460.4020874207,5.60625,6.03008956592519,6.63755495987417,6.60892481690101,5.72988763988686,5.8913268910671,5.99870155951419,297.480830275842,"Oct",0.246279393009307,0,0,0,0,0,0,0,0,0,1
2,3,0,2.34285714285714,2.61428571428571,2.75,3.52,3.065,2.44888888888889,1.85777777777778,2.15777777777778,23.9,18.0857142857143,17.2571428571429,17.25,18.6525423728814,18.9327731092437,17.8055865921788,14.0855153203343,14.0367176634214,27,22.8285714285714,22.0785714285714,19.4464285714286,22.8066666666667,24.465,24.3083333333333,19.4294444444444,19.3434722222222,11.7,11.3571428571429,10.6714285714286,8.88928571428571,10.9766666666667,12.5625,12.4761111111111,9.39833333333333,9.45541666666667,9567.27753391468,9205.17712931152,5.60625,6.03008956592519,6.63755495987417,6.60892481690101,5.72988763988686,5.8913268910671,5.99870155951419,386.607699289371,"Oct",0.202644582730356,0,0,0,0,0,0,0,0,0,1
3,3,0,2.34285714285714,2.61428571428571,2.75,3.37666666666667,2.78333333333333,2.26111111111111,1.75777777777778,2.1075,23.9,18.0857142857143,17.2571428571429,17.25,18.6525423728814,18.9327731092437,17.8055865921788,14.0855153203343,14.0367176634214,27,22.8285714285714,22.0785714285714,19.4464285714286,22.8066666666667,24.465,24.3083333333333,19.4294444444444,19.3748611111111,11.7,11.3571428571429,10.6714285714286,8.88928571428571,10.9766666666667,12.5866666666667,12.4922222222222,9.40638888888889,9.50194444444444,12703.5989289692,6363.02883365438,5.60625,6.03008956592519,6.63755495987417,6.60892481690101,5.72988763988686,5.8913268910671,5.99870155951419,29.8162956988101,"Oct",0.250011884604018,0,0,0,0,0,0,0,0,0,1
4,4,0,0,2.71428571428571,2.18571428571429,1.35,0.94,1.06222222222222,1.75166666666667,1.80083333333333,23.7,26.5428571428571,22.35,22.6814814814815,22.1983050847458,21.5319327731092,18.5581005586592,14.4183844011142,14.2527121001391,17.5,25.1,26.0785714285714,26.4964285714286,25.6766666666667,26.73,25.4877777777778,20.4677777777778,20.2091666666667,4.1,8.41428571428571,11.0785714285714,12.7892857142857,11.8533333333333,12.35,11.7727777777778,8.96388888888889,8.79458333333333,8764.07402965591,17306.1482669235,5.39615384615385,5.91640617422239,5.72493415541689,5.47217301328063,4.79801389690852,5.75479187099024,5.8081486037134,1365.32926514579,"Oct",0.0593630978519329,0,0,1,0,0,0,0,0,0,0
4,4,0,0,2.71428571428571,2.19285714285714,1.35,0.94,1.07555555555556,1.75277777777778,1.80277777777778,25.8,26.2,22.8142857142857,22.562962962963,22.328813559322,21.5210084033613,18.4837988826816,14.3994428969359,14.2438108484006,18,27.8,27.1214285714286,26.5857142857143,25.9633333333333,26.7808333333333,25.4994444444444,20.5127777777778,20.2079166666667,9.8,9.48571428571429,11.9071428571429,12.9464285714286,11.905,12.3875,11.8116666666667,8.985,8.79972222222222,8764.07402965591,17306.1482669235,3.68,5.91640617422239,5.72493415541689,5.47217301328063,4.79801389690852,5.75384659089042,5.79807429304966,1365.32926514579,"Oct",0.0593630978519329,0,0,1,0,0,0,0,0,0,0
